question,dataset,full_question,question_id,split,option1,option2,option3,option4,true_option
Lactate and hydrogen ions leave the muscle:,clinical_knowledge,"Lactate and hydrogen ions leave the muscle: Options: 1. via a cotransport mechanism with carnosine, 2. via an active transport mechanism, 3. via a protein transporter molecule, 4. by simple diffusion.",496,train,via a cotransport mechanism with carnosine,via an active transport mechanism,via a protein transporter molecule,by simple diffusion,3
Which of the following is true of the spine?,clinical_knowledge,"Which of the following is true of the spine? Options: 1. Back pain is an uncommon complaint, 2. Schober's test is designed to quantify the flexion of the lumbar spine, 3. Ankylosing spondylitis is a cause of hypermobility of the spine, 4. Pregnancy is a cause of loss of lordosis of the lumbar spine.",422,train,Back pain is an uncommon complaint,Schober's test is designed to quantify the flexion of the lumbar spine,Ankylosing spondylitis is a cause of hypermobility of the spine,Pregnancy is a cause of loss of lordosis of the lumbar spine,2
Which of the following is true of calcium metabolism?,clinical_knowledge,"Which of the following is true of calcium metabolism? Options: 1. Calcitonin causes a rise in plasma calcium, 2. Primary hyperparathyroidism is usually asymptomatic, 3. Vitamin D is secreted by the parathyroid glands, 4. Oliguria is a symptom of hypercalcaemia.",441,test,Calcitonin causes a rise in plasma calcium,Primary hyperparathyroidism is usually asymptomatic,Vitamin D is secreted by the parathyroid glands,Oliguria is a symptom of hypercalcaemia,2
Embedded in the inner membrane of the mitochondrion are:,clinical_knowledge,"Embedded in the inner membrane of the mitochondrion are: Options: 1. the enzymes of the tricarboxylic acid cycle (Krebs' cycle), 2. the components of the electron transport chain, 3. glycogen molecules, 4. triacylglycerol molecules.",469,train,the enzymes of the tricarboxylic acid cycle (Krebs' cycle),the components of the electron transport chain,glycogen molecules,triacylglycerol molecules,2
The main factors determining success in sport are:,clinical_knowledge,"The main factors determining success in sport are: Options: 1. a high energy diet and large appetite, 2. high intelligence and motivation to succeed, 3. a good coach and the motivation to succeed, 4. innate ability and the capacity to respond to the training stimulus.",407,train,a high energy diet and large appetite,high intelligence and motivation to succeed,a good coach and the motivation to succeed,innate ability and the capacity to respond to the training stimulus,4
"In a double stranded molecule of DNA, the ratio of purines : pyrimidines is:",clinical_knowledge,"In a double stranded molecule of DNA, the ratio of purines : pyrimidines is: Options: 1. variable, 2. determined by the base sequence in RNA, 3. genetically determined, 4. always 1:1.",438,train,variable,determined by the base sequence in RNA,genetically determined,always 1:1,4
A person weighs 62 kg. Their drug dose is 15 mg/kg. How many grams is their dose? Choose one answer from the following:,clinical_knowledge,"A person weighs 62 kg. Their drug dose is 15 mg/kg. How many grams is their dose? Choose one answer from the following: Options: 1. 930, 2. 93, 3. 9.3, 4. 0.93.",466,train,930,93,9.3,0.93,4
A fundamental cause of fatigue in high intensity exercise is:,clinical_knowledge,"A fundamental cause of fatigue in high intensity exercise is: Options: 1. a fall in the cell concentration of ADP, 2. inhibition of ATP production, 3. failure of the ATP supply to match the demand, 4. lack of skill.",420,train,a fall in the cell concentration of ADP,inhibition of ATP production,failure of the ATP supply to match the demand,lack of skill,3
Which of the following best describes the effects of morphine?,clinical_knowledge,"Which of the following best describes the effects of morphine? Options: 1. Reduces pain intensity and increases alertness, 2. Reduces pain intensity but also causes sedation, 3. Reduces pain intensity but also causes diarrhoea, 4. Reduces pain intensity but also causes insomnia.",426,test,Reduces pain intensity and increases alertness,Reduces pain intensity but also causes sedation,Reduces pain intensity but also causes diarrhoea,Reduces pain intensity but also causes insomnia,2
Which of the following is true of headache?,clinical_knowledge,"Which of the following is true of headache? Options: 1. When associated with neck stiffness is always due to meningitis, 2. Severe pain usually indicates a life threatening cause, 3. Temporal arteritis is strongly associated with rheumatoid arthritis, 4. Tension headaches is a common cause of headache.",431,train,When associated with neck stiffness is always due to meningitis,Severe pain usually indicates a life threatening cause,Temporal arteritis is strongly associated with rheumatoid arthritis,Tension headaches is a common cause of headache,4
Between contractions of the left ventricle the blood continues to flow through the vessels because:,clinical_knowledge,"Between contractions of the left ventricle the blood continues to flow through the vessels because: Options: 1. the atria are contracting, 2. the vessels are contracted, 3. the right ventricle is relaxed, 4. the arteries have elastic recoil.",464,train,the atria are contracting,the vessels are contracted,the right ventricle is relaxed,the arteries have elastic recoil,4
What might make the nurse think a patient could not use an inhaler?,clinical_knowledge,"What might make the nurse think a patient could not use an inhaler? Options: 1. Severe leg ulcers, 2. Previous recovery from an acute exacerbation of asthma, 3. Forthcoming surgery, 4. Poor technique, physical impairment, or lack of understanding.",485,train,Severe leg ulcers,Previous recovery from an acute exacerbation of asthma,Forthcoming surgery,"Poor technique, physical impairment, or lack of understanding",4
"When using an inhaler, when should a patient be asked to rinse their mouth?",clinical_knowledge,"When using an inhaler, when should a patient be asked to rinse their mouth? Options: 1. Before using their bronchodilator inhaler, 2. After using their bronchodilator inhaler, 3. Before using their steroid inhaler, 4. After using their steroid inhaler.",413,train,Before using their bronchodilator inhaler,After using their bronchodilator inhaler,Before using their steroid inhaler,After using their steroid inhaler,4
Muscle lactate production increases when:,clinical_knowledge,"Muscle lactate production increases when: Options: 1. oxygen is readily available, 2. pyruvate cannot be formed from glucose breakdown, 3. the pH of the muscle falls, 4. glycolysis is activated at the onset of exercise.",494,train,oxygen is readily available,pyruvate cannot be formed from glucose breakdown,the pH of the muscle falls,glycolysis is activated at the onset of exercise,4
What is the minimum time a stretch should be held for?,clinical_knowledge,"What is the minimum time a stretch should be held for? Options: 1. 0-10 seconds, 2. 10-30 seconds, 3. 30-50 seconds, 4. 60 seconds.",458,train,0-10 seconds,10-30 seconds,30-50 seconds,60 seconds,2
What three factors regulate stroke volume?,clinical_knowledge,"What three factors regulate stroke volume? Options: 1. Blood volume, preload, and afterload, 2. Preload, contractility, and afterload, 3. Contractility, blood volume, and blood pressure, 4. Cardiac output, contractility, and blood volume.",487,train,"Blood volume, preload, and afterload","Preload, contractility, and afterload","Contractility, blood volume, and blood pressure","Cardiac output, contractility, and blood volume",2
Name the bones of the middle finger in the correct order from the hand.,clinical_knowledge,"Name the bones of the middle finger in the correct order from the hand. Options: 1. Proximal phalynx, middle phalynx, distal phalynx, 2. Distal phalynx, middle phalynx, proximal phalynx, 3. Middle phalynx, distal phalynx, proximal phalynx, 4. Distal phalynx, proximal phalynx, middle phalynx.",443,test,"Proximal phalynx, middle phalynx, distal phalynx","Distal phalynx, middle phalynx, proximal phalynx","Middle phalynx, distal phalynx, proximal phalynx","Distal phalynx, proximal phalynx, middle phalynx",1
Which of the following promotes glucose and amino acid uptake by muscle?,clinical_knowledge,"Which of the following promotes glucose and amino acid uptake by muscle? Options: 1. Adrenaline, 2. Insulin, 3. Glycogen, 4. Cortisol.",452,val,Adrenaline,Insulin,Glycogen,Cortisol,2
An ileostomy opening should be:,clinical_knowledge,"An ileostomy opening should be: Options: 1. flush with the skin, 2. 3-5cm in length, 3. below skin level, 4. over 5cm in length.",448,train,flush with the skin,3-5cm in length,below skin level,over 5cm in length,2
Which one of the following manoeuvres is not a central painful stimulus?,clinical_knowledge,"Which one of the following manoeuvres is not a central painful stimulus? Options: 1. Supra-orbital ridge pressure, 2. Pressure on the little finger pulp, 3. Trapezius squeeze, 4. Sternal rub.",435,train,Supra-orbital ridge pressure,Pressure on the little finger pulp,Trapezius squeeze,Sternal rub,2
Which of the following is true about the rectal examination?,clinical_knowledge,"Which of the following is true about the rectal examination? Options: 1. If the patient refuses a chaperone the doctor can overrule them, 2. The rectal examination is of no value in a neurological examination, 3. The optimum position of the patient is on their right side with their knees extended, 4. The rectal examination is indicated for the assessment of some gastrointestinal disorders.",425,train,If the patient refuses a chaperone the doctor can overrule them,The rectal examination is of no value in a neurological examination,The optimum position of the patient is on their right side with their knees extended,The rectal examination is indicated for the assessment of some gastrointestinal disorders,4
Wound drainage should be assessed for volume and consistency:,clinical_knowledge,"Wound drainage should be assessed for volume and consistency: Options: 1. each time post-operative observations are undertaken, 2. daily, 3. every hour, 4. only when the wound dressing is changed.",467,test,each time post-operative observations are undertaken,daily,every hour,only when the wound dressing is changed,1
"When developing a plan of care relating to the management of a person's pain, attention should be given to the following needs:",clinical_knowledge,"When developing a plan of care relating to the management of a person's pain, attention should be given to the following needs: Options: 1. physical and pharmacological needs only, 2. physical and psychological needs only, 3. physical, psychological, and pharmacological needs followed by regular reassessment, 4. none of the above, as the main priority is to limit drug side effects.",456,train,physical and pharmacological needs only,physical and psychological needs only,"physical, psychological, and pharmacological needs followed by regular reassessment","none of the above, as the main priority is to limit drug side effects",3
Which of the following groups of drugs may cause a dry mouth?,clinical_knowledge,"Which of the following groups of drugs may cause a dry mouth? Options: 1. Steroids, 2. Analgesics, 3. Antidepressants, 4. Antifungal agents.",481,train,Steroids,Analgesics,Antidepressants,Antifungal agents,3
A person is prescribed Ropinirole 1.5 mg divided into three doses. How many micrograms is each dose? Choose one answer from the following:,clinical_knowledge,"A person is prescribed Ropinirole 1.5 mg divided into three doses. How many micrograms is each dose? Choose one answer from the following: Options: 1. 5, 2. 50, 3. 0.5, 4. 500.",402,val,5,50,0.5,500,4
Which of the following is thought to be implicated in the development of peripheral muscle fatigue during multiple sprint activities?,clinical_knowledge,"Which of the following is thought to be implicated in the development of peripheral muscle fatigue during multiple sprint activities? Options: 1. An accumulation of inorganic phosphate, 2. Development of hyperosmolality in the muscles, 3. An excess of antioxidants, 4. A lack of potassium.",428,train,An accumulation of inorganic phosphate,Development of hyperosmolality in the muscles,An excess of antioxidants,A lack of potassium,1
What is hypochlorhydria?,clinical_knowledge,"What is hypochlorhydria? Options: 1. Increased amount of gastric acid, 2. Gastric ulceration, 3. Reduced amount of gastric acid, 4. Pernicious anaemia.",449,train,Increased amount of gastric acid,Gastric ulceration,Reduced amount of gastric acid,Pernicious anaemia,3
Which of the following is not an amino acid?,clinical_knowledge,"Which of the following is not an amino acid? Options: 1. Glutamic acid, 2. Aspartic acid, 3. Glutamine, 4. Palmitic acid.",433,train,Glutamic acid,Aspartic acid,Glutamine,Palmitic acid,4
"If a blood unit has been out of refrigeration for longer than the accepted time limit, you should:",clinical_knowledge,"If a blood unit has been out of refrigeration for longer than the accepted time limit, you should: Options: 1. transfuse it as soon as possible and annotate the patient's notes with the time of administration, 2. dispose of the contents in the sluice area, keeping the bag for record purposes, 3. return it to the blood bank and inform them of why you have done so, 4. refrigerate for a minimum of 12 hours and then administer it.",476,train,transfuse it as soon as possible and annotate the patient's notes with the time of administration,"dispose of the contents in the sluice area, keeping the bag for record purposes",return it to the blood bank and inform them of why you have done so,refrigerate for a minimum of 12 hours and then administer it,3
How many different types of microorganisms may colonize the mouth?,clinical_knowledge,"How many different types of microorganisms may colonize the mouth? Options: 1. 35, 2. 100, 3. 350, 4. 500.",475,test,35,100,350,500,3
Which of the following is the same strength as Adrenaline 1 in 1000? Choose one answer from the following:,clinical_knowledge,"Which of the following is the same strength as Adrenaline 1 in 1000? Choose one answer from the following: Options: 1. 1 mg/mL, 2. 1 mg/L, 3. 1 g/mL, 4. 100 micrograms/mL.",419,train,1 mg/mL,1 mg/L,1 g/mL,100 micrograms/mL,1
An allele that is masked is referred to as:,clinical_knowledge,"An allele that is masked is referred to as: Options: 1. recessive, 2. redundant, 3. repressed, 4. reclusive.",432,train,recessive,redundant,repressed,reclusive,1
Hypernatraemic dehydration is:,clinical_knowledge,"Hypernatraemic dehydration is: Options: 1. water intake is less than is needed to maintain balance, 2. water intake is more than is needed to maintain balance, 3. blood volume is lost due to trauma or burns, 4. blood volume is lost due to surgery.",401,test,water intake is less than is needed to maintain balance,water intake is more than is needed to maintain balance,blood volume is lost due to trauma or burns,blood volume is lost due to surgery,1
Which of the following can act as an intracellular buffer to limit pH changes when the rate of glycolysis is high?,clinical_knowledge,"Which of the following can act as an intracellular buffer to limit pH changes when the rate of glycolysis is high? Options: 1. Glutamine, 2. Glucose, 3. Carnosine, 4. Amylase.",412,train,Glutamine,Glucose,Carnosine,Amylase,3
Which of the following is true about Addisons Disease?,clinical_knowledge,"Which of the following is true about Addisons Disease? Options: 1. It is due to a deficiency of prolactin hormone, 2. Leads to generalized pigmentation, 3. It is a recognized cause of hypertension, 4. Diabetes is a complication.",418,train,It is due to a deficiency of prolactin hormone,Leads to generalized pigmentation,It is a recognized cause of hypertension,Diabetes is a complication,2
Which of the following are indicative signs and symptoms of circulatory overload?,clinical_knowledge,"Which of the following are indicative signs and symptoms of circulatory overload? Options: 1. Hypothermia, hypotension, and bradycardia, 2. Hypotension, oliguria, and uticaria, 3. Shivering, pyrexia, and thirst, 4. Dyspnoea, tachycardia, and distended neck veins.",460,test,"Hypothermia, hypotension, and bradycardia","Hypotension, oliguria, and uticaria","Shivering, pyrexia, and thirst","Dyspnoea, tachycardia, and distended neck veins",4
What is the most likely cause of acute urinary retention of urine?,clinical_knowledge,"What is the most likely cause of acute urinary retention of urine? Options: 1. Haematuria, 2. Bladder outflow obstruction, 3. Drinking alcohol, 4. Kidney stones.",499,train,Haematuria,Bladder outflow obstruction,Drinking alcohol,Kidney stones,2
Where should a stoma be sited?,clinical_knowledge,"Where should a stoma be sited? Options: 1. The rectus sheath abdominus, 2. Next to the umbilicus, 3. Within an abdominal crease, 4. In close proximity to the incision site.",474,train,The rectus sheath abdominus,Next to the umbilicus,Within an abdominal crease,In close proximity to the incision site,1
Women's world record performances have improved rapidly in recent years mainly because:,clinical_knowledge,"Women's world record performances have improved rapidly in recent years mainly because: Options: 1. women have evolved a greater muscle mass, 2. women can now run faster than men, 3. women have started training at an earlier age, 4. more women are now engaged in sport.",409,train,women have evolved a greater muscle mass,women can now run faster than men,women have started training at an earlier age,more women are now engaged in sport,4
Which of the following is true about the assessment of arm reflexes?,clinical_knowledge,"Which of the following is true about the assessment of arm reflexes? Options: 1. The root value of the biceps reflex is C5, C6, 2. If no reflex is elicited when you tap a tendon it is documented as absent, 3. The triceps tendon is struck in the antecubital fossa, 4. Brisk finger jerks confirm a lower motor neurone lesion.",490,train,"The root value of the biceps reflex is C5, C6",If no reflex is elicited when you tap a tendon it is documented as absent,The triceps tendon is struck in the antecubital fossa,Brisk finger jerks confirm a lower motor neurone lesion,1
What is the 'normal' range of flexion at the knee joint?,clinical_knowledge,"What is the 'normal' range of flexion at the knee joint? Options: 1. 0-115 degrees, 2. 0-135 degrees, 3. 0-155 degrees, 4. 0-175 degrees.",405,train,0-115 degrees,0-135 degrees,0-155 degrees,0-175 degrees,2
Which of the following is not a controlled drug?,clinical_knowledge,"Which of the following is not a controlled drug? Options: 1. A 30 milligram ampoule of Codeine Phosphate for injection, 2. A sustained release Morphine tablet, 3. A 12.5 microgram Fentanyl patch, 4. A 500 ml bottle of Morphine 10 mg in 5 ml in oral suspension.",495,train,A 30 milligram ampoule of Codeine Phosphate for injection,A sustained release Morphine tablet,A 12.5 microgram Fentanyl patch,A 500 ml bottle of Morphine 10 mg in 5 ml in oral suspension,4
After what period of time does maximal dynamic exercise become predominantly aerobic?,clinical_knowledge,"After what period of time does maximal dynamic exercise become predominantly aerobic? Options: 1. 10 seconds, 2. 30 seconds, 3. 1 minute, 4. 4 minutes.",478,train,10 seconds,30 seconds,1 minute,4 minutes,3
The trigger to initiate the contractile process in skeletal muscle is:,clinical_knowledge,"The trigger to initiate the contractile process in skeletal muscle is: Options: 1. potassium binding to myosin, 2. calcium binding to tropomyosin, 3. ATP binding to the myosin cross bridges, 4. calcium binding to troponin.",480,train,potassium binding to myosin,calcium binding to tropomyosin,ATP binding to the myosin cross bridges,calcium binding to troponin,4
The energy charge of the cell is:,clinical_knowledge,"The energy charge of the cell is: Options: 1. the difference between the charge on the outside and inside of a cell, 2. generated by the sodium-potassium ATPase, 3. the overall rate of energy use by the cell, 4. the extent to which the total adenine nucleotide pool is phosphorylated.",427,train,the difference between the charge on the outside and inside of a cell,generated by the sodium-potassium ATPase,the overall rate of energy use by the cell,the extent to which the total adenine nucleotide pool is phosphorylated,4
Which of the following parameters are seen on typical neurological observation charts?,clinical_knowledge,"Which of the following parameters are seen on typical neurological observation charts? Options: 1. Urine output, 2. Temperature, 3. Central venous pressure, 4. Blood glucose.",470,train,Urine output,Temperature,Central venous pressure,Blood glucose,2
"In the discharge checklist recommended by the Department of Health (2004), who should be involved in completing the form?",clinical_knowledge,"In the discharge checklist recommended by the Department of Health (2004), who should be involved in completing the form? Options: 1. The GP, consultant, and named nurse, 2. The nurse, patient, and ward clerk, 3. The nurse, ward clerk, and consultant, 4. The nurse, consultant, and GP.",484,test,"The GP, consultant, and named nurse","The nurse, patient, and ward clerk","The nurse, ward clerk, and consultant","The nurse, consultant, and GP",2
Which one of the following groups of patients should be assessed using an Early Warning Score (EWS)?,clinical_knowledge,"Which one of the following groups of patients should be assessed using an Early Warning Score (EWS)? Options: 1. Only patients over 60 years of age, 2. Only patients admitted to the Emergency Department, 3. Only patients who have been on an Intensive care/High dependency unit, 4. Any patient who is acutely unwell pre-operatively or post-operatively and those who have undergone major surgery.",434,train,Only patients over 60 years of age,Only patients admitted to the Emergency Department,Only patients who have been on an Intensive care/High dependency unit,Any patient who is acutely unwell pre-operatively or post-operatively and those who have undergone major surgery,4
What type of covalent bonds link the amino acids in a protein?,clinical_knowledge,"What type of covalent bonds link the amino acids in a protein? Options: 1. Peptide bonds, 2. Hydrogen bonds, 3. Ionic bonds, 4. Glycosidic bonds.",447,val,Peptide bonds,Hydrogen bonds,Ionic bonds,Glycosidic bonds,1
The term gene doping refers to:,clinical_knowledge,"The term gene doping refers to: Options: 1. the use of drugs to modify gene transcription, 2. the use of genetic manipulation techniques to enhance performance in sport, 3. the activation or inhibition of genes to mask drug taking by athletes, 4. the use of drugs to modify the myostatin gene.",442,train,the use of drugs to modify gene transcription,the use of genetic manipulation techniques to enhance performance in sport,the activation or inhibition of genes to mask drug taking by athletes,the use of drugs to modify the myostatin gene,2
Name three of the five main uses of the hand.,clinical_knowledge,"Name three of the five main uses of the hand. Options: 1. Touch, feel, stroke, 2. Grip, percussion, sensory, 3. Tap, slap, clap, 4. Touch, pinch, grasp.",459,train,"Touch, feel, stroke","Grip, percussion, sensory","Tap, slap, clap","Touch, pinch, grasp",2
"Prior to undergoing a painful procedure, a patient should be informed about what to expect and how their pain will be controlled, as this is associated with:",clinical_knowledge,"Prior to undergoing a painful procedure, a patient should be informed about what to expect and how their pain will be controlled, as this is associated with: Options: 1. a reduction in anxiety and perceived pain intensity, 2. an increased use of analgesia, 3. a decrease in the frequency of pain-related problems such as nausea and vomiting, 4. an increased urine output.",429,train,a reduction in anxiety and perceived pain intensity,an increased use of analgesia,a decrease in the frequency of pain-related problems such as nausea and vomiting,an increased urine output,1
"When recording peak flow results, within how many litres/minute should the three readings be?",clinical_knowledge,"When recording peak flow results, within how many litres/minute should the three readings be? Options: 1. 10 litres per minute of each other, 2. 20 litres per minute of each other, 3. 100 litres per minute of each other, 4. 30 litres per minute of each other.",463,train,10 litres per minute of each other,20 litres per minute of each other,100 litres per minute of each other,30 litres per minute of each other,2
The frontal lobe of the brain's cortex is responsible for which of the following?,clinical_knowledge,"The frontal lobe of the brain's cortex is responsible for which of the following? Options: 1. The sleep/wake cycle, 2. The ability to draw shapes, 3. Understanding others' speech, 4. Visual perception.",453,train,The sleep/wake cycle,The ability to draw shapes,Understanding others' speech,Visual perception,2
The carpal bones are the small bones of the wrist - name them.,clinical_knowledge,"The carpal bones are the small bones of the wrist - name them. Options: 1. Scaphoid, lunate, triquetral, pisiform, trapezium, trapezoid, capitate, hamate, 2. Scaphoid, lunar, triquetrium, pisiform, radius, ulna, capitates, 3. Scaphoid, proximal phalynx, humerus, hamate, capitate, 4. Scaphoid, radius, ulna, cunniform, trapezius.",411,train,"Scaphoid, lunate, triquetral, pisiform, trapezium, trapezoid, capitate, hamate","Scaphoid, lunar, triquetrium, pisiform, radius, ulna, capitates","Scaphoid, proximal phalynx, humerus, hamate, capitate","Scaphoid, radius, ulna, cunniform, trapezius",1
What is 'coring'?,clinical_knowledge,"What is 'coring'? Options: 1. A symptom of phlebitis, 2. Titration of a drug with its desired effect, 3. The delivery of medication straight into the bloodstream, 4. When drugs are withdrawn from a sealed vial, fragments of the rubber bung can be cut out by the needle.",416,val,A symptom of phlebitis,Titration of a drug with its desired effect,The delivery of medication straight into the bloodstream,"When drugs are withdrawn from a sealed vial, fragments of the rubber bung can be cut out by the needle",4
Which of the following factors can affect enzyme activity?,clinical_knowledge,"Which of the following factors can affect enzyme activity? Options: 1. Temperature, 2. pH, 3. The presence of certain metal ions, 4. All of the above.",471,train,Temperature,pH,The presence of certain metal ions,All of the above,4
"For very high force contractions lasting 1-2 seconds, the initial energy source is from:",clinical_knowledge,"For very high force contractions lasting 1-2 seconds, the initial energy source is from: Options: 1. Glycolysis, 2. creatine phosphorylation, 3. phosphocreatine stores, 4. ATP stores.",400,train,Glycolysis,creatine phosphorylation,phosphocreatine stores,ATP stores,4
A change in blood pressure is detected by the:,clinical_knowledge,"A change in blood pressure is detected by the: Options: 1. baroreceptors, 2. chemoreceptors, 3. vasomotor centre, 4. cardiovascular centre.",482,test,baroreceptors,chemoreceptors,vasomotor centre,cardiovascular centre,1
Blood clots are responsible for repeatedly blocking a catheter. What should you do?,clinical_knowledge,"Blood clots are responsible for repeatedly blocking a catheter. What should you do? Options: 1. Call for help, 2. Inform medical staff, 3. Inform the patient, 4. Remove the catheter and recatheterize.",498,train,Call for help,Inform medical staff,Inform the patient,Remove the catheter and recatheterize,2
What is the pH of water?,clinical_knowledge,"What is the pH of water? Options: 1. 3.5, 2. 7, 3. 12, 4. 6.25.",457,test,3.5,7,12,6.25,2
How long can a cannula remain in situ?,clinical_knowledge,"How long can a cannula remain in situ? Options: 1. 24 hours, 2. 36 hours, 3. 48 hours, 4. 96 hours.",461,train,24 hours,36 hours,48 hours,96 hours,4
How many chromosomes do all human somatic cells contain?,clinical_knowledge,"How many chromosomes do all human somatic cells contain? Options: 1. 3, 2. 20, 3. 23, 4. 46.",408,test,3,20,23,46,4
Which products of ADP degradation increase in concentration in the blood during multiple sprint sports?,clinical_knowledge,"Which products of ADP degradation increase in concentration in the blood during multiple sprint sports? Options: 1. Ammonia, hypoxanthine and uric acid, 2. Ammonia, urea and uric acid, 3. Ammonia, urea and creatinine, 4. Ammonia, urea and creatine.",492,train,"Ammonia, hypoxanthine and uric acid","Ammonia, urea and uric acid","Ammonia, urea and creatinine","Ammonia, urea and creatine",1
What type of joint is the elbow?,clinical_knowledge,"What type of joint is the elbow? Options: 1. Ball and socket joint, 2. Fused joint, 3. Synovial hinge joint, 4. Plain joint.",473,test,Ball and socket joint,Fused joint,Synovial hinge joint,Plain joint,3
A hypertonic solution is:,clinical_knowledge,"A hypertonic solution is: Options: 1. a solution that has a higher concentration of solutes than the normal human cell, 2. a solution that blocks off enteral tubes easily, 3. a solution that has a lower concentration of solutes than the normal human cell, 4. a solution with a high fibre content.",417,train,a solution that has a higher concentration of solutes than the normal human cell,a solution that blocks off enteral tubes easily,a solution that has a lower concentration of solutes than the normal human cell,a solution with a high fibre content,1
Which of these is not necessary when examining the jugular venous pulse?,clinical_knowledge,"Which of these is not necessary when examining the jugular venous pulse? Options: 1. Patient's neck muscles should be relaxed, 2. Timing the pulsation with the radial pulse, 3. Good lighting, 4. Patient lying at 45 degree angle.",477,val,Patient's neck muscles should be relaxed,Timing the pulsation with the radial pulse,Good lighting,Patient lying at 45 degree angle,2
