role,role cate,occupation cate,merged_cate,N-gram Frequency (2018-2019),mmlu,interpersonal,gender,align_words,gender_role_cate
historian,work,history,history,1.062401997842244e-05,1,0,unknown,,
archivist,work,history,history,3.925437255247745e-07,1,0,unknown,,
historical researcher,work,history,history,5.19155518574621e-09,1,0,unknown,,
carpenter,other occupations,,other occupations,2.6518472395764547e-06,0,0,unknown,,
cashier,other occupations,,other occupations,1.4230290616978891e-06,0,0,unknown,,
conductor,other occupations,,other occupations,5.056590907770442e-06,0,0,unknown,,
student,school,,school,6.696129275951535e-05,0,1,neutral,,
mechanic,other occupations,,other occupations,2.237707462882099e-06,0,0,unknown,,
archaeologist,work,history,history,8.446296533293207e-07,1,0,unknown,,
electronics technician,work,eecs,eecs,7.0112358141471995e-09,1,0,unknown,,
engineer,other occupations,,other occupations,1.043780048348708e-05,0,0,unknown,,
data scientist,work,eecs,eecs,1.4312437812691314e-07,1,0,unknown,,
photographer,other occupations,,other occupations,4.091199571121251e-06,0,0,unknown,,
electrical engineer,work,eecs,eecs,1.3047181113279296e-07,1,0,unknown,,
manager,other occupations,,other occupations,2.845180824806448e-05,0,0,unknown,,
farmer,other occupations,,other occupations,1.109620734496275e-05,0,0,unknown,,
tailor,other occupations,,other occupations,3.485500428723753e-06,0,0,unknown,,
shoemaker,other occupations,,other occupations,7.264019927788468e-07,0,0,unknown,,
sales,other occupations,,other occupations,3.105900759692304e-05,0,0,unknown,,
software engineer,work,eecs,eecs,1.3638385354397542e-07,1,0,unknown,,
librarian,other occupations,,other occupations,2.386298660894681e-06,0,0,unknown,,
blacksmith,other occupations,,other occupations,1.75243775402123e-06,0,0,unknown,,
artist,other occupations,,other occupations,2.4387533812841863e-05,0,0,unknown,,
pilot,other occupations,,other occupations,1.6499934645253234e-05,0,0,unknown,,
inspector,other occupations,,other occupations,4.1815162603597855e-06,0,0,unknown,,
police,other occupations,,other occupations,7.943868331494741e-05,0,0,unknown,,
gardener,other occupations,,other occupations,2.8329302494967123e-06,0,0,unknown,,
attendant,other occupations,,other occupations,5.728783889935585e-06,0,0,unknown,,
athlete,other occupations,,other occupations,4.808489848073805e-06,0,0,unknown,,
son,family,,family,0.0001333331601927,0,1,male,,
operator,other occupations,,other occupations,1.7470716556999832e-05,0,0,unknown,,
web developer,work,eecs,eecs,3.6488144061763705e-08,1,0,unknown,,
economic researcher,work,econ,econ,1.304611696451019e-09,1,0,unknown,,
economist,work,econ,econ,2.73854379884142e-06,1,0,unknown,,
sailor,other occupations,,other occupations,5.368014626583317e-06,0,0,unknown,,
financial analyst,work,econ,econ,6.151316256364225e-08,1,0,unknown,,
designer,other occupations,,other occupations,7.898490821389714e-06,0,0,unknown,,
midwife,other occupations,,other occupations,1.854315257787676e-06,0,0,unknown,,
coach,school,,school,1.5210621768346757e-05,0,1,neutral,,
tutor,school,,school,3.6181772884447128e-06,0,1,neutral,,
dean,school,,school,2.232722863482195e-06,0,1,neutral,,
president,other occupations,,other occupations,3.931920218747109e-05,0,0,unknown,,
humanist,other occupations,,other occupations,1.895532079743134e-06,0,0,unknown,,
auditor,other occupations,,other occupations,6.737641569998232e-06,0,0,unknown,,
scholar,other occupations,,other occupations,1.061881903297035e-05,0,0,unknown,,
graduate,school,,school,1.1550764156709192e-05,0,1,neutral,,
partner,romantic,,romantic,3.49756155628711e-05,0,1,neutral,partner,partner
husband,romantic,,romantic,8.509354665875435e-05,0,1,male,boyfriend,partner
wife,romantic,,romantic,0.0001253619411727,0,1,female,girlfriend,partner
boyfriend,romantic,,romantic,9.189847787638428e-06,0,1,male,boyfriend,partner
father-in-law,family,,family,0.0,0,1,male,father,parent
housewife,romantic,,romantic,1.2517304526227235e-06,0,1,female,,
mother-in-law,family,,family,0.0,0,1,female,mother,parent
enthusiast,work,politics,politics,9.07946827055639e-07,1,0,unknown,,
girlfriend,romantic,,romantic,8.982644430943765e-06,0,1,female,girlfriend,partner
partisan,work,politics,politics,4.14032274420606e-06,1,0,unknown,,
classmate,school,,school,1.2748196240863765e-06,0,1,neutral,,
brother,family,,family,0.0001027406106004,0,1,male,brother,sibling
companion,social,,social,1.93055639101658e-05,0,1,neutral,,
buddy,social,,social,3.658875584733323e-06,0,1,neutral,,
roommate,social,,social,2.047235170721251e-06,0,1,neutral,,
coworker,work,,work,9.485741259140924e-07,0,1,neutral,,
boss,work,,work,1.8364997231401503e-05,0,1,neutral,,
colleague,work,,work,8.046723905863473e-06,0,1,neutral,,
CEO,other occupations,,other occupations,8.323612064486952e-06,0,0,unknown,,
mentor,work,,work,5.792542424387648e-06,0,1,neutral,,
advisor,other occupations,,other occupations,3.554959789653367e-06,0,0,unknown,,
counsellor,other occupations,,other occupations,1.4658962186331337e-06,0,0,unknown,,
counselor,other occupations,,other occupations,3.7622577337970142e-06,0,0,unknown,,
friend,social,,social,0.0001360572932753,0,1,neutral,,
stranger,social,,social,2.182160096708685e-05,0,1,neutral,,
foreigner,social,,social,2.854831905096944e-06,0,1,neutral,,
best friend,social,,social,7.83963037065405e-06,0,1,neutral,,
close friend,social,,social,1.5719820680715202e-06,0,1,neutral,,
parents,family,,family,0.0001080927795555,0,1,neutral,parents,parent
father,family,,family,0.000221912676352,0,1,male,,
mother,family,,family,0.0002227447766927,0,1,female,mother,parent
daddy,family,,family,4.110030431547784e-06,0,1,male,father,parent
dad,family,,family,3.165489397360943e-05,0,1,male,father,parent
papa,family,,family,3.882316718772927e-06,0,1,male,father,parent
cofounder,other occupations,,other occupations,5.442689996471017e-07,0,0,unknown,,
mummy,family,,family,1.524057779533905e-06,0,1,female,mother,parent
mamma,family,,family,3.0581570626964094e-06,0,1,female,mother,parent
mommy,family,,family,1.0720947898334998e-06,0,1,female,mother,parent
mom,family,,family,2.756691901595332e-05,0,1,female,mother,parent
mum,family,,family,7.74240152168204e-06,0,1,female,mother,parent
mama,family,,family,3.2457669476571027e-06,0,1,female,mother,parent
daughter,family,,family,8.013553087948821e-05,0,1,female,,
cousin,family,,family,1.889751820272068e-05,0,1,neutral,,
grandfather,family,,family,1.6188664631044958e-05,0,1,male,,
grandmother,family,,family,1.5940564480843022e-05,0,1,female,,
fiancée,romantic,,romantic,1.846266911798012e-06,0,1,female,girlfriend,partner
fiancé,romantic,,romantic,2.0571027334881364e-06,0,1,male,boyfriend,partner
chatbot,AI,,AI,3.016289156221319e-07,0,0,unknown,,
assistant,AI,,AI,1.545832128613256e-05,0,0,unknown,,
virtual assistant ,AI,,AI,0.0,0,0,unknown,,
AI language model,AI,,AI,0.0,0,0,unknown,,
mathematician AI,AI,math,AI,0.0,0,0,unknown,,
software enginner AI,AI,eecs,AI,0.0,0,0,unknown,,
Educational Tutor AI,AI,,AI,0.0,0,0,unknown,,
Medical Diagnostic AI,AI,medicine,AI,0.0,0,0,unknown,,
helpful assistant ,AI,,AI,0.0,0,0,unknown,,
Behavioral Economics AI,AI,econ,AI,0.0,0,0,unknown,,
Embedded Systems AI Engineer,AI,eecs,eecs,0.0,1,0,unknown,,
Historical Data Analyst AI,AI,history,AI,0.0,0,0,unknown,,
Legal Research AI,AI,law,AI,0.0,0,0,unknown,,
Mathematical Modeling AI,AI,math,AI,0.0,0,0,unknown,,
Statistical Analysis AI,AI,math,AI,0.0,0,0,unknown,,
Diagnostic AI,AI,medicine,AI,0.0,0,0,unknown,,
Policy Analysis AI,AI,politics,AI,0.0,0,0,unknown,,
Public Opinion AI,AI,politics,AI,0.0,0,0,unknown,,
Psychological Profiling AI,AI,psychology,AI,0.0,0,0,unknown,,
Scientific Data Analysis AI,AI,natural science,AI,0.0,0,0,unknown,,
